CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location 1
2016017790.0,05/06/2016,1827,FRI,1898 S INDEPENDENCE BLVD,Yes,4.0,426.0,3,"1799 DAHLIA DR
VIRGINIA BEACH, VA
(36.802084, -76.112132)"
2016022430.0,06/04/2016,1330,SAT,EXPRESSWAY DR,Yes,4.0,427.0,2,"300 EDWIN DR
VIRGINIA BEACH, VA
(36.83097, -76.126447)"
2016021495.0,05/29/2016,1626,SUN,LANGSTON RD,Yes,4.0,422.0,2,"1098 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.806581, -76.170629)"
2016025360.0,06/22/2016,1715,WED,SULLIVAN BLVD,Yes,3.0,327.0,0,"900 ARAGONA BLVD
VIRGINIA BEACH, VA
(36.866058, -76.146307)"
2016026978.0,07/02/2016,1015,SAT,GREENWELL RD,,3.0,329.0,2,"4400 SHORE DR
VIRGINIA BEACH, VA
(36.905013, -76.123064)"
2017051329.0,12/31/2017,203,SUN,INDIAN RIVER RD,100 Feet From,4.0,420.0,1,"6000 PROVIDENCE RD
VIRGINIA BEACH, VA
(36.812678, -76.201339)"
2017051342.0,12/31/2017,903,SUN,SUNNYSIDE DR,Yes,4.0,420.0,2,"6200 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.813473, -76.207117)"
2016027382.0,07/04/2016,1510,MON,3401 EDINBURGH DR,Yes,3.0,321.0,3,"501 LITTLE NECK RD
VIRGINIA BEACH, VA
(36.848036, -76.091811)"
2017049918.0,12/19/2017,123,TUE,SHORE DR,Yes,2.0,220.0,1,"183 83RD ST
VIRGINIA BEACH, VA
(36.908029, -75.993269)"
2018000035.0,01/01/2018,630,MON,PRINCESS ANNE RD,Yes,4.0,425.0,2,"LYNNHAVEN PW
VIRGINIA BEACH, VA
"
2017048790.0,12/10/2017,1900,SUN,GREENWELL RD,Yes,3.0,329.0,2,"4399 FIRST COURT RD
VIRGINIA BEACH, VA
(36.89833, -76.12479)"
2017051245.0,12/30/2017,915,SAT,STAGHORN DR,10 Feet From,4.0,425.0,1,"4587 REVERE DR
VIRGINIA BEACH, VA
(36.794261, -76.142937)"
2016022399.0,06/04/2016,659,SAT,NORTHAMPTON BL,Yes,3.0,329.0,2,"4609 SHORE DR
VIRGINIA BEACH, VA
(36.90364, -76.130419)"
2016025787.0,06/25/2016,947,SAT,WAXHAM CT,Yes,3.0,326.0,2,"631 LAKE EDWARD DR
VIRGINIA BEACH, VA
(36.859842, -76.177761)"
2018000077.0,01/01/2018,1736,MON,HARPERS RD,Yes,2.0,228.0,2,"OCEANA BL
VIRGINIA BEACH, VA
"
2018000076.0,01/01/2018,1648,MON,FIRST COLONIAL RD,400 Feet From,2.0,223.0,2,"LASKIN RD
VIRGINIA BEACH, VA
"
2018000061.0,01/01/2018,1453,MON,NS TOMCAT BL,Yes,2.0,228.0,2,"998 OCEANA BL
VIRGINIA BEACH, VA
(36.808822, -76.004695)"
2016008033.0,03/02/2016,1407,WED,ROSEMONT RD,Yes,3.0,321.0,2,"3663 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.8403, -76.097852)"
2016024055.0,06/15/2016,1715,WED,NEWTOWN RD,Yes,3.0,326.0,0,"800 DIAMOND SPRINGS RD
VIRGINIA BEACH, VA
(36.866733, -76.170187)"
2016025205.0,06/21/2016,1951,TUE,199 PLAZA TR S,Yes,3.0,321.0,0,"3401 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.841312, -76.091057)"
2017050393.0,12/22/2017,1425,FRI,TAYLOR FARM RD,Yes,1.0,124.0,2,"LONDON BRIDGE RD
VIRGINIA BEACH, VA
"
2017051274.0,01/02/2018,1415,TUE,BEASLEY DR,Yes,3.0,323.0,2,"4442 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.843545, -76.128891)"
2018000006.0,01/02/2018,118,TUE,PLAZA TRL S,00.25 Miles From,4.0,426.0,1,"1500 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.88983, -76.137973)"
2017051116.0,12/29/2017,1339,FRI,BROAD ST,Yes,3.0,323.0,2,"319 ROSE MARIE AV
VIRGINIA BEACH, VA
(36.845322, -76.148934)"
2016027551.0,07/05/2016,1358,TUE,SETTLERS PARK DR,Yes,4.0,425.0,2,"5098 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.789682, -76.164018)"
2016020955.0,05/27/2016,1725,FRI,2200 ARCTIC AV,Yes,2.0,227.0,2,"401 22ND ST
VIRGINIA BEACH, VA
(36.849649, -75.978814)"
2017051372.0,12/31/2017,1717,SUN,CONSTITUTION DR,Yes,3.0,324.0,2,"4399 BONNEY RD
VIRGINIA BEACH, VA
(36.835963, -76.127258)"
2017048867.0,12/11/2017,1340,MON,SILVERLEAF DR,Yes,4.0,427.0,2,"4300 HOLLAND
VIRGINIA BEACH, VA
(36.819819, -76.120704)"
2016026782.0,07/01/2016,701,FRI,800 DIAMOND SPRINGS RD,Yes,3.0,326.0,0,"5500 WESLEYAN DR
VIRGINIA BEACH, VA
(36.871361, -76.172007)"
2016023051.0,06/08/2016,1134,WED,INDEPENDENCE BL,Yes,3.0,328.0,2,"4600 PEMBROKE BL
VIRGINIA BEACH, VA
(36.862385, -76.132384)"
2016029070.0,07/15/2016,1430,FRI,6000 WESLEYAN DR,,3.0,326.0,3,"5919 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.878653, -76.19055)"
2018000016.0,01/01/2018,243,MON,PAVILLION DR,100 Feet From,2.0,225.0,0,"500 N. BIRDNECK RD
VIRGINIA BEACH, VA
(36.847909, -75.994169)"
2016026095.0,06/27/2016,705,MON,COMMERCE PKWY,Yes,2.0,224.0,2,"145 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.837725, -76.049853)"
2016023874.0,06/13/2016,1405,MON,PROSPERITY RD,Yes,2.0,228.0,2,"1300 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.793727, -75.995316)"
2017044102.0,11/06/2017,1500,MON,INDIAN RIVER RD,Yes,4.0,422.0,2,"1300 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.799911, -76.173743)"
2018000172.0,01/02/2018,1330,TUE,PRINCESS ANNE RD,Yes,4.0,425.0,3,"2000 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.793076, -76.119071)"
2016027649.0,07/05/2016,2330,TUE,BAKER RD,Yes,3.0,326.0,2,"500 NEWTOWN RD
VIRGINIA BEACH, VA
(36.856547, -76.177085)"
2016028361.0,07/10/2016,1135,SUN,PARKS AV,Yes,2.0,227.0,2,"700 22ND ST
VIRGINIA BEACH, VA
(36.848682, -75.984328)"
2016026141.0,06/27/2016,1200,MON,1300 BELLS RD,Yes,2.0,228.0,2,"600 OCEANA BL
VIRGINIA BEACH, VA
(36.81911, -76.007717)"
2016024743.0,06/18/2016,2230,SAT,900 WINDSOR OAKS BL,Yes,4.0,426.0,2,"1700 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.809185, -76.120376)"
2018000167.0,01/01/2018,1300,MON,400 GUARDIAN LA,Yes,1.0,127.0,2,"641 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.825401, -76.067234)"
2016024921.0,06/20/2016,900,MON,EXPRESSWAY DR,Yes,4.0,427.0,2,"4500 SOUTH BL
VIRGINIA BEACH, VA
(36.83299, -76.130437)"
2016025404.0,06/22/2016,2215,WED,2100 MEDITERRANEAN AV,Yes,2.0,227.0,2,"600 21ST ST
VIRGINIA BEACH, VA
(36.848031, -75.982291)"
2016027097.0,07/02/2016,2250,SAT,BONNEY RD,,3.0,322.0,1,"100 HAPPY ST
VIRGINIA BEACH, VA
(36.838866, -76.108785)"
2016020032.0,05/21/2016,127,SAT,LYNNHAVEN PW,Yes,3.0,320.0,3,"2600 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.84116, -76.061592)"
2018000145.0,01/02/2018,1125,TUE,MEADOWGLEN RD,Yes,4.0,424.0,2,"INDEPENDENCE BL S
VIRGINIA BEACH, VA
"
2018000119.0,01/02/2018,730,TUE,1700 BRIGANDS WY,150 Feet From,1.0,128.0,2,"3400 DAM NECK RD
VIRGINIA BEACH, VA
(36.780503, -76.084115)"
2016021087.0,05/27/2016,1410,FRI,FORDHAM DR,Yes,4.0,422.0,3,"5300 KEMPSRIVER DR
VIRGINIA BEACH, VA
(36.802774, -76.174556)"
2018000135.0,01/02/2018,1025,TUE,WOLFSNARE RD,.25 Miles From,2.0,222.0,2,"829 FIRST COLONIAL RD
VIRGINIA BEACH, VA
(36.854374, -76.023989)"
2017046062.0,11/21/2017,905,TUE,REPUBLIC RD,Yes,2.0,222.0,2,"1700 LASKIN RD
VIRGINIA BEACH, VA
(36.850858, -76.022573)"
2017049177.0,12/13/2017,1717,WED,TAYLOR FARM RD,Yes,1.0,124.0,2,"1500 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.78936, -76.062593)"
2016020198.0,05/22/2016,222,SUN,FOUNTAIN HALL DR,Yes,4.0,425.0,2,"4600 PLEASANT VALLEY RD
VIRGINIA BEACH, VA
(36.796013, -76.148568)"
2017051288.0,12/30/2017,1723,SAT,TABLE ROCK RD,Yes,4.0,428.0,2,"3800 HOLLAND RD
VIRGINIA BEACH, VA
(36.815511, -76.105823)"
2016045100.0,10/31/2016,1630,MON,SEABOARD RD,Yes,1.0,121.0,2,"1855 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.72792, -76.016944)"
2018000189.0,01/02/2018,1601,TUE,PROVIDENCE RD,Yes,4.0,420.0,3,"6099 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.812476, -76.205781)"
2018000075.0,01/01/2018,1706,MON,4400 PLAZA TRL S,500 Feet From,4.0,426.0,1,"1639 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.893702, -76.141645)"
2018000191.0,01/02/2018,1620,TUE,QUARTER WY,Yes,4.0,425.0,2,"LYNNHAVEN PWY
VIRGINIA BEACH, VA
"
2016023559.0,06/11/2016,1531,SAT,UPPER CHELSEA RE,Yes,2.0,221.0,2,"1800 N GREATNECK RD
VIRGINIA BEACH, VA
(36.893917, -76.0582)"
2016021817.0,05/31/2016,1612,TUE,KING RICHARD DR,,3.0,321.0,2,"3339 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.841682, -76.088374)"
2016020335.0,05/22/2016,2208,SUN,BERKNOR DR,00.50 Miles From,2.0,228.0,2,"1000 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.807728, -75.990703)"
2016028823.0,07/13/2016,1820,WED,FLURIDY RD,00.25 Miles From,1.0,120.0,2,"3499 HUNGARIAN RD
VIRGINIA BEACH, VA
(36.595147, -76.120626)"
2016025457.0,06/23/2016,1122,THU,SEABOARD RD,Yes,1.0,121.0,1,"3000 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.766366, -76.076179)"
2016007181.0,06/03/2016,1425,FRI,SHAMAN CI,Yes,3.0,328.0,1,"4665 WITCHDUCK RD N
VIRGINIA BEACH, VA
(36.86406, -76.13619)"
2016025008.0,06/20/2016,1824,MON,SANDPIPER,Yes,1.0,122.0,3,"600 SANDBRIDGE RD
VIRGINIA BEACH, VA
(36.743692, -75.958075)"
2016020978.0,05/26/2016,1910,THU,400 32ND ST,Yes,2.0,226.0,2,"3198 HOLLY RD
VIRGINIA BEACH, VA
(36.859618, -75.982208)"
2016024310.0,06/16/2016,1310,THU,EBB TIDE RD,Yes,2.0,220.0,2,"2900 SHORE DR
VIRGINIA BEACH, VA
(36.911341, -76.071576)"
2016023697.0,06/12/2016,936,SUN,3500 BOW CREEK BL,Yes,4.0,427.0,2,"500 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.825377, -76.096385)"
2016021669.0,05/30/2016,1639,MON,LOUGH LA,Yes,3.0,331.0,2,"5566 SHORE DR
VIRGINIA BEACH, VA
(36.906133, -76.175135)"
2016027034.0,07/02/2016,1555,SAT,700 WINDWOOD DR,Yes,2.0,223.0,2,"1400 LASKIN RD
VIRGINIA BEACH, VA
(36.85198, -76.008688)"
2016029113.0,07/15/2016,2129,FRI,PRINCESS ANNE RD,Yes,1.0,124.0,2,"3699 DAM NECK RD
VIRGINIA BEACH, VA
(36.775682, -76.09095)"
2017051389.0,12/31/2017,2120,SUN,FERRELL PW,Yes,4.0,425.0,2,"INDIAN RIVER RD
VIRGINIA BEACH, VA
"
2018000186.0,01/02/2018,1546,TUE,HALFMOON CR,75 Feet From,2.0,223.0,2,"OLD CUTLER RD
VIRGINIA BEACH, VA
"
2016027943.0,07/07/2016,1735,THU,BIRDNECK RD,Yes,2.0,226.0,2,"1100 LASKIN RD
VIRGINIA BEACH, VA
(36.854901, -75.995432)"
2018000064.0,01/02/2018,1526,TUE,KEMPSVILLE RD,25 Feet From,4.0,422.0,2,"KEMPSRIVER DR
VIRGINIA BEACH, VA
"
2018000207.0,01/02/2018,1921,TUE,LYNNHAVEN PW,Yes,1.0,127.0,2,"EAST MALL DR
VIRGINIA BEACH, VA
"
2016027688.0,07/06/2016,1005,WED,INDIAN RIVER RD,Yes,1.0,121.0,2,"1799 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.723701, -76.017685)"
2016026760.0,07/01/2016,17,FRI,MCCLANNAN LA,00.50 Miles From,1.0,122.0,1,"3199 COLECHESTER RD
VIRGINIA BEACH, VA
(36.717531, -75.977025)"
2018000185.0,01/02/2018,1547,TUE,NEVAN RD,Yes,2.0,223.0,2,"DONNA DR
VIRGINIA BEACH, VA
"
2017051145.0,12/29/2017,1700,FRI,2200 WOLFSNARE RD,Yes,2.0,222.0,3,"720 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.853643, -76.048445)"
2018000313.0,01/03/2018,1730,WED,2200 LAKESIDE DR N,Yes,2.0,221.0,2,"1300 GREAT NECK RD N
VIRGINIA BEACH, VA
(36.874556, -76.039505)"
2016021112.0,05/27/2016,1710,FRI,INDIAN RIVER RD,00.25 Miles From,1.0,121.0,3,"3699 NORTH LANDING RD
VIRGINIA BEACH, VA
(36.734443, -76.098865)"
2016007775.0,02/29/2016,1933,MON,1200 BAKER RD,Yes,3.0,331.0,2,"5700 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.885299, -76.180844)"
2018000334.0,01/03/2018,2030,WED,PLEASANT VALLEY RD,05 Feet From,4.0,425.0,1,"4800 FERRELL PW
VIRGINIA BEACH, VA
(36.79691, -76.146099)"
2018000319.0,01/03/2018,1803,WED,600 THOMAS NELSON DR,Yes,4.0,427.0,2,"4000 HOLLAND RD
VIRGINIA BEACH, VA
(36.816273, -76.114136)"
2018000335.0,01/03/2018,2034,WED,COMMUTER DR,Yes,4.0,426.0,2,"1410 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.884849, -76.134837)"
2016027565.0,07/05/2016,1510,TUE,WHITEHORNE RD,Yes,3.0,329.0,2,"4300 THOROUGHGOOD DR
VIRGINIA BEACH, VA
(36.894782, -76.120179)"
2016027887.0,07/07/2016,1255,THU,FORDHAM DR,Yes,4.0,422.0,2,"5300 KEMPSRIVER DR
VIRGINIA BEACH, VA
(36.802774, -76.174556)"
2016027183.0,07/03/2016,1333,SUN,PARKWAY MARKETPLACE,Yes,4.0,425.0,2,"5048 FERRELL PW
VIRGINIA BEACH, VA
(36.794954, -76.167681)"
2016022693.0,06/06/2016,657,MON,5599 BEAUFAIN BL,Yes,4.0,421.0,2,"1728 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.784094, -76.187589)"
2016020417.0,05/23/2016,1424,MON,SHIPPS CORNER RD,Yes,1.0,124.0,2,"3198 HOLLAND RD
VIRGINIA BEACH, VA
(36.792071, -76.080564)"
2018000316.0,01/03/2018,1731,WED,INDEPENDENCE BL S,200 Feet From,1.0,125.0,2,"PRINCESS ANNE RD
VIRGINIA BEACH, VA
"
2016020947.0,05/26/2016,1624,THU,HILLTOP PLAZA SC,Yes,2.0,222.0,2,"1800 LASKIN RD
VIRGINIA BEACH, VA
(36.849841, -76.027747)"
2018000342.0,01/03/2018,2127,WED,KENTUCKY DERBY DR,600 Feet From,1.0,125.0,1,"3879 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.751113, -76.125753)"
2016024539.0,06/17/2016,1828,FRI,GRAVENHURST DR,Yes,4.0,425.0,2,"2400 LYNNHAVEN PW
VIRGINIA BEACH, VA
(36.786637, -76.149752)"
2016027364.0,07/04/2016,1327,MON,CENTERVILLE TP,Yes,4.0,421.0,2,"1900 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.779978, -76.19254)"
2016025276.0,06/22/2016,930,WED,DAM NECK RD,Yes,1.0,125.0,2,"2105 SALEM RD
VIRGINIA BEACH, VA
(36.76768, -76.123006)"
2016026544.0,06/29/2016,1732,WED,OCEANA BL,Yes,1.0,123.0,2,"1300 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.793727, -75.995316)"
2016020901.0,05/26/2016,1144,THU,BULLOCK TL,Yes,1.0,127.0,2,"457 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.828481, -76.05274)"
2016027140.0,07/03/2016,255,SUN,HATTERAS RD,Yes,4.0,423.0,1,"125 CHEYENNE RD
VIRGINIA BEACH, VA
(36.8394, -76.183182)"
2018000249.0,01/03/2018,730,WED,BONNEY RD,50 Feet From,4.0,426.0,2,"BAXTER RD
VIRGINIA BEACH, VA
"
2016023048.0,06/08/2016,1103,WED,PLEASANT VALLEY RD,Yes,4.0,425.0,2,"4800 FERRELL PW
VIRGINIA BEACH, VA
(36.796804, -76.143652)"
2018000323.0,01/03/2018,1830,WED,LONDON BRIDGE RD,Yes,1.0,124.0,2,"DAM NECK RD
VIRGINIA BEACH, VA
"
2016021544.0,05/29/2016,2211,SUN,300 NELMS LA,Yes,3.0,325.0,2,"5232 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.848169, -76.162339)"
2018000255.0,01/03/2018,856,WED,TREWEY CT,Yes,1.0,127.0,2,"2707 MAGIC HOLLOW BL
VIRGINIA BEACH, VA
(36.804744, -76.069875)"
2016024862.0,06/19/2016,1940,SUN,200 5TH ST,Yes,2.0,227.0,2,"500 PACIFIC AV
VIRGINIA BEACH, VA
(36.836488, -75.973132)"
2018000271.0,01/03/2018,1104,WED,MILITARY HWY S,500 Feet From,4.0,420.0,2,"INDIAN RIVER RD
VIRGINIA BEACH, VA
"
2016023179.0,06/09/2016,710,THU,CURRY COMB CT,Yes,1.0,125.0,2,"2699 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.75913, -76.066053)"
2018000257.0,01/03/2018,912,WED,UPTON DR,Yes,1.0,122.0,2,"NIMMO PW
VIRGINIA BEACH, VA
"
2016023919.0,06/13/2016,1843,MON,BONNEYDALE RD,Yes,4.0,422.0,2,"1299 ACREDALE RD
VIRGINIA BEACH, VA
(36.800201, -76.171503)"
2016020655.0,05/24/2016,2106,TUE,SANDBRIDGE RD,Yes,1.0,122.0,2,"2293 UPTON DR
VIRGINIA BEACH, VA
(36.752611, -76.009332)"
2016027596.0,07/05/2016,1643,TUE,TUNA LA,Yes,1.0,122.0,3,"2799 SANDPIPER RD
VIRGINIA BEACH, VA
(36.733617, -75.940609)"
2016021994.0,06/01/2016,1724,WED,301 FIRST COLONIAL,Yes,2.0,224.0,3,"1701 VIRGINIA BEACH BLVD
VIRGINIA BEACH, VA
(36.842408, -76.021232)"
2016027197.0,07/03/2016,1512,SUN,601 OXFORD CI,Yes,3.0,321.0,2,"643 LITTLE NECK RD
VIRGINIA BEACH, VA
(36.855096, -76.090619)"
2016028465.0,07/11/2016,736,MON,2100 INDEPENDENCE BL,Yes,1.0,125.0,3,"3969 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.789088, -76.112736)"
2016022907.0,06/07/2016,1320,TUE,OCEANA BL,Yes,1.0,123.0,2,"1300 TOMCAT CT S
VIRGINIA BEACH, VA
(36.796868, -76.014525)"
2018000338.0,01/03/2018,2056,WED,PLESANT VALLEY RD,00.50 Miles From,4.0,425.0,1,"FERRELL PW
VIRGINIA BEACH, VA
"
2018000293.0,01/03/2018,1446,WED,LONDON BRIDGE RD,300 Feet From,1.0,124.0,2,"DAM NECK RD
VIRGINIA BEACH, VA
"
2018000244.0,01/03/2018,644,WED,HOLLAND RD,Yes,4.0,428.0,3,"ROSEMONT RD S
VIRGINIA BEACH, VA
"
2018000314.0,01/03/2018,1718,WED,WENDFIELD DR,Yes,4.0,428.0,1,"LYNNHAVEN PW
VIRGINIA BEACH, VA
"
2018000281.0,01/03/2018,1300,WED,STONESHORE RD,500 Feet From,4.0,428.0,2,"3427 HOLLAND RD
VIRGINIA BEACH, VA
(36.806335, -76.090797)"
2016022312.0,06/03/2016,1758,FRI,MCCCOMAS WY,Yes,1.0,124.0,3,"1400 NIMMO PW
VIRGINIA BEACH, VA
(36.763451, -76.02002)"
2016025471.0,06/23/2016,1230,THU,19TH ST,Yes,2.0,227.0,2,"1800 PACIFIC AV
VIRGINIA BEACH, VA
(36.846502, -75.975955)"
2016022373.0,06/04/2016,206,SAT,BIRDNECK RD N,Yes,2.0,226.0,2,"1101 LASKIN RD
VIRGINIA BEACH, VA
(36.854362, -75.995398)"
2016026230.0,06/27/2016,2057,MON,LONDON BRIDGE RD,Yes,1.0,124.0,2,"1689 DRAKESMILE RD
VIRGINIA BEACH, VA
(36.788295, -76.06813)"
2016026867.0,07/01/2016,1745,FRI,2200 VISTA CI,Yes,2.0,220.0,2,"3300 SHORE DR
VIRGINIA BEACH, VA
(36.907544, -76.086431)"
2018000193.0,01/02/2018,1648,TUE,ARAGONA BL,Yes,3.0,328.0,3,"WITCHDUCK RD
VIRGINIA BEACH, VA
"
2018000306.0,01/03/2018,1621,WED,BROAD ST,50 Feet From,3.0,323.0,3,"300 INDEPENDENCE BL
VIRGINIA BEACH, VA
(36.844298, -76.136657)"
