Car,Class,Disp,FuelType,HwyMPG
160,Midsize,2.5,R,30
161,Midsize,2.4,R,30
162,Midsize,2,P,29
163,Midsize,2,P,29
164,Midsize,2,P,29
165,Midsize,2,P,29
166,Midsize,2,P,29
167,Midsize,2.3,R,29
168,Midsize,2.3,R,29
169,Midsize,2,R,29
170,Midsize,2,R,29
171,Midsize,3.5,R,29
172,Midsize,2.5,R,29
173,Midsize,2.5,R,29
174,Midsize,2.5,R,29
175,Midsize,2.5,R,29
176,Midsize,3.5,R,29
177,Midsize,3.5,R,29
178,Midsize,3.5,R,29
179,Midsize,2.5,P,29
180,Midsize,2,P,29
181,Midsize,3.5,R,29
182,Midsize,1.8,R,29
183,Midsize,2.4,R,29
184,Midsize,2.3,R,29
185,Midsize,2.3,R,29
186,Midsize,2.3,R,29
187,Midsize,3.5,R,29
188,Midsize,2.4,P,28
189,Midsize,2.4,P,28
190,Midsize,2,P,28
191,Midsize,3,P,28
192,Midsize,3,P,28
193,Midsize,2.5,P,28
194,Midsize,2.5,P,28
195,Midsize,2.4,P,28
196,Midsize,2.4,P,28
197,Midsize,2.4,P,28
198,Midsize,2.4,P,28
199,Midsize,3.5,R,28
200,Midsize,2,R,28
201,Midsize,2,R,28
202,Midsize,2,R,28
203,Midsize,2,R,28
204,Midsize,3.9,R,28
205,Midsize,3.5,R,28
206,Midsize,3.3,R,28
207,Midsize,3.5,R,28
208,Midsize,3.5,R,28
209,Midsize,3,P,28
210,Midsize,2.3,P,28
211,Midsize,2,P,28
212,Midsize,3.8,R,28
213,Midsize,3.5,R,28
214,Midsize,2.3,R,28
215,Midsize,2.7,R,28
216,Midsize,2.3,R,28
217,Midsize,3.5,R,28
218,Midsize,2.3,R,28
219,Midsize,3.8,R,28
220,Midsize,3.5,R,28
221,Midsize,2,P,27
222,Midsize,3.1,P,27
223,Midsize,2.5,P,27
224,Midsize,2.5,P,27
225,Midsize,2.5,P,27
226,Midsize,2.5,P,27
227,Midsize,2.5,R,27
228,Midsize,2.5,R,27
229,Midsize,2.5,R,27
230,Midsize,2.5,R,27
231,Midsize,3.3,R,27
232,Midsize,3.5,P,27
233,Midsize,3.1,P,27
234,Midsize,3,P,27
235,Midsize,3.5,P,27
236,Midsize,3.5,P,27
237,Midsize,3.5,P,27
238,Midsize,2.7,R,27
239,Midsize,2.7,R,27
240,Midsize,2.7,R,27
241,Midsize,2,R,27
242,Midsize,2.7,R,27
243,Midsize,2.4,R,27
244,Midsize,3,R,26
245,Midsize,3,R,26
246,Midsize,3.6,R,26
247,Large,3,P,26
248,Large,3,P,26
249,Large,3,P,26
250,Large,2,P,26
251,Large,2.8,P,26
252,Large,2.5,P,26
253,Large,2.5,P,26
254,Large,2.5,P,26
255,Large,2.4,P,26
256,Large,2.4,P,26
257,Large,2.4,R,26
258,Large,3.5,R,26
259,Large,3.6,R,26
260,Large,3.3,R,26
261,Large,2.7,R,26
262,Large,2.7,R,26
263,Large,3.8,R,26
264,Large,3.3,R,26
265,Large,3.2,P,26
266,Large,3.5,P,26
267,Large,3,P,26
268,Large,3,P,26
269,Large,3,P,26
270,Large,2.3,P,26
271,Large,3.5,P,26
272,Large,2.3,P,26
273,Large,3.6,P,26
274,Large,3.6,R,26
275,Large,3.6,R,26
276,Large,3.6,R,26
277,Large,3.6,R,26
278,Large,3.6,R,26
279,Large,3.6,R,26
280,Large,3.5,R,26
281,Large,3.5,R,26
282,Large,3,P,25
283,Large,3.5,P,25
284,Large,2.5,P,25
285,Large,2.5,P,25
286,Large,2.5,P,25
287,Large,2.5,P,25
288,Large,3.5,R,25
289,Large,4.2,P,25
290,Large,4.2,P,25
291,Large,4.2,P,25
292,Large,3.8,R,25
293,Large,3.1,P,25
294,Large,3,P,25
295,Large,3,P,25
296,Large,3,P,25
297,Large,3,P,25
298,Large,3.5,P,25
299,Large,3.5,P,25
300,Large,3.8,P,25
301,Large,3.5,P,25
302,Large,5.3,P,25
303,Large,3.6,R,25
304,Large,3.6,R,25
305,Large,3.6,R,25
306,Large,3.6,R,25
307,Large,2.4,R,25
308,Large,3,R,25
309,Large,3,R,25
310,Large,3,R,25
311,Large,3,R,25
