,GPIN,Street Address,Zip Code,Neighborhood,Land Value,Improvement Value,Total Value,Land USE (Y/N),Sale Date,Sale Price,Document Number,Deed Book,Deed Page,Location 1
22907,14865194860000,908 Northwood Dr,23452-7937,Oak Springs,75000.0,$145800,220800.0,No,05/18/2011,0.0,20110518000504540,,,"908 Northwood Dr
Virginia Beach, VA 23452-7937
(36.804932, -76.098647)"
401941,24240078970017,2508 Lotus Creek Dr,23456-6459,Lotus Creek One Condo,140000.0,$306500,446500.0,No,02/24/2014,425000.0,20140224000156780,,,"2508 Lotus Creek Dr
Virginia Beach, VA 23456-6459
(36.748444, -75.980349)"
175188,24044681370000,1821 Capel Manor Way,23456-7749,Princess Anne Quarter/Woods,150000.0,$319200,469200.0,No,12/16/1999,0.0,000000000000000,4181,2110.0,"1821 Capel Manor Way
Virginia Beach, VA 23456-7749
(36.761835, -76.035296)"
43007,24039905760000,2165 Locksley Arch,23456,Sherwood Lakes,185000.0,$243300,428300.0,No,05/21/2009,185000.0,20090521000563490,,,"2165 Locksley Arch
Virginia Beach, VA 23456
(36.743337, -76.021448)"
271833,14663255720000,997 Cedar Forest Dr,23464-5402,Haven Estates,86000.0,$140900,226900.0,No,09/22/2014,0.0,20140922000894840,,,"997 Cedar Forest Dr
Virginia Beach, VA 23464-5402
(36.809428, -76.174584)"
453076,14947525900000,2553 Cantwell Rd,23453-6648,P.A. Crossing_Buryn Farm,135000.0,$250400,385400.0,No,12/02/1994,161900.0,000000000000000,3456,875.0,"2553 Cantwell Rd
Virginia Beach, VA 23453-6648
(36.760113, -76.061009)"
87458,14756547320000,1449 Ludlow Dr,23456-5454,Salem Woods,109000.0,$225100,334100.0,No,06/01/1988,164000.0,000000000000000,2737.0,690.0,"1449 Ludlow Dr
Virginia Beach, VA 23456-5454
(36.789812, -76.131272)"
296568,14660222430000,930 Strickland Blvd,23464-3947,Cedar Hill,91000.0,$128300,219300.0,No,12/06/2011,221916.0,20111206001246500,,,"930 Strickland Blvd
Virginia Beach, VA 23464-3947
(36.808799, -76.186583)"
355650,14660369110000,5573 New Colony Dr,23464-4010,Jamestowne/Stoneybrook,40000.0,$86600,126600.0,No,02/10/2016,101300.0,20160210000110920,,,"5573 New Colony Dr
Virginia Beach, VA 23464-4010
(36.813628, -76.18479)"
171045,14977779580000,332 Falling Ln,23454-3969,Woods At London Bridge,50200.0,$92800,143000.0,No,06/24/2004,107000.0,200406140092524,,,"332 Falling Ln
Virginia Beach, VA 23454-3969
(36.84916, -76.056585)"
296302,14789231460000,4117 Cheswick Ln,23455-6560,Old Donation Farm,379600.0,$433600,813200.0,No,10/08/1997,87000.0,000000000000000,3777.0,2030.0,"4117 Cheswick Ln
Virginia Beach, VA 23455-6560
(36.861882, -76.119089)"
211516,24340510400000,2305 Sandfiddler Rd,23456-4615,Sandbridge,440000.0,$169100,609100.0,No,08/14/1987,0.0,000000000000000,2663,2109.0,"2305 Sandfiddler Rd
Virginia Beach, VA 23456-4615
(36.756737, -75.948837)"
150347,24272237230310,500 Pacific Ave 305,23451-3535,Pacific South Condo,41200.0,$171900,213100.0,No,12/17/2002,159900.0,200211153065424,,,"500 Pacific Ave 305
Virginia Beach, VA 23451-3535
(36.836488, -75.973132)"
173771,14950991010000,1084 Old Clubhouse Rd,23453-3054,Scarborough Square,38400.0,$79800,118200.0,No,07/12/1984,55000.0,000000000000000,2347,1157.0,"1084 Old Clubhouse Rd
Virginia Beach, VA 23453-3054
(36.797924, -76.082162)"
